"start_id","end_id","type"
"KU_JTG_5210_2018_5.1.2_6a7b8c9d","clause_7a7f5b48a9b3","FROM_CLAUSE"
"KU_JTG_5210_2018_5.1.3_6a7b8c9d","clause_301ea5a94bc4","FROM_CLAUSE"
"KU_JTG_5210_2018_5.1.4_6a7b8c9d","clause_d012e529258b","FROM_CLAUSE"
"KU_JTG_5210_2018_1_6a7b8c9d","clause_be8c90b9e84a","FROM_CLAUSE"
"rule_7f436fc28345","KU_JTG_5210_2018_1_6a7b8c9d","DERIVED_FROM"
"KU_JTG_5210_2018_2_6a7b8c9d","clause_602e620e5728","FROM_CLAUSE"
"rule_e0ed5993d6aa","KU_JTG_5210_2018_2_6a7b8c9d","DERIVED_FROM"
"KU_JTG_5210_2018_5.1.6_4a7b2c9d","clause_967374ce72d4","FROM_CLAUSE"
"KU_JTG_5210_2018_5.1.7_6a8b9c1d","clause_7fff3ca532ca","FROM_CLAUSE"
"KU_JTG_5210_2018_2_9e8f7a6b","clause_602e620e5728","FROM_CLAUSE"
"rule_7684431e623a","KU_JTG_5210_2018_2_9e8f7a6b","DERIVED_FROM"
"KU_JTG_5210_2018_2_9a7b3c1d","clause_602e620e5728","FROM_CLAUSE"
"rule_2c8fd5007bc0","KU_JTG_5210_2018_2_9a7b3c1d","DERIVED_FROM"
"KU_JTG_5210_2018_7.2.3_4a7b2c9d","clause_72c171160862","FROM_CLAUSE"
"rule_12469e85af48","KU_JTG_5210_2018_7.2.3_4a7b2c9d","DERIVED_FROM"
"KU_JTG_5210_2018_2_1e2f3g4h","clause_602e620e5728","FROM_CLAUSE"
"rule_47f821de5d3b","KU_JTG_5210_2018_2_1e2f3g4h","DERIVED_FROM"
"KU_JTG_5210_2018_2_5i6j7k8l","clause_602e620e5728","FROM_CLAUSE"
"rule_e28f54160d00","KU_JTG_5210_2018_2_5i6j7k8l","DERIVED_FROM"
"KU_JTG_5210_2018_7.3.1_6a8b2c1d","clause_59d5b1ff83d2","FROM_CLAUSE"
"rule_6ff682b7610d","KU_JTG_5210_2018_7.3.1_6a8b2c1d","DERIVED_FROM"
"KU_JTG_5210_2018_7.3.1_9e3f7a4b","clause_59d5b1ff83d2","FROM_CLAUSE"
"rule_6567c445cef4","KU_JTG_5210_2018_7.3.1_9e3f7a4b","DERIVED_FROM"
"KU_JTG_D30_2015_3_8a9b2c1d","clause_3970052114fd","FROM_CLAUSE"
"rule_711d50c5eb4f","KU_JTG_D30_2015_3_8a9b2c1d","DERIVED_FROM"
