"id","clause_id","standard_id","standard_name","title_path","text"
"clause_4d219fa9568d","1.0.1","JTG_5210_2018","公路技术状况评定标准","[""1 总则""]","1.0.1 为客观评定公路技术状况,促进公路技术状况检测评定工作的科学化和规范化,制定本标准。
"
"clause_09fa1f1c1d93","1.0.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则""]","1.0.2 本标准适用于各等级公路。 父
"
"clause_520d2f06716d","1.0.3","JTG_5210_2018","公路技术状况评定标准","[""1 总则""]","1.0.3 公路技术状况检测评定工作,应遵循客观、科学和高效的原则,采用先进可靠的检测和评价手段。
"
"clause_2b4ec7c4eb80","1.0.4","JTG_5210_2018","公路技术状况评定标准","[""1 总则""]","1.0.4 公路技术状况的检测评定除应符合本标准的规定外,尚应符合国家和行业现行有关标准的规定。
通—1—
"
"clause_74ac330bf6c9","2.0.1","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","2.0.1 公路技术状况指数 highway maintenance quality indicator
用于综合评价公路路基、路面、桥隧构造物和沿线设施技术状况的指标。
"
"clause_e768f64c72cc","2.0.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","2.0.2 路面技术状况指数 pavement maintenance quality index
用于综合评价路面损坏、路面平整度、路面车辙、路面跳车、路面磨耗、路面抗滑性能和路面结构强度技术状况的指标。
"
"clause_7702910109ba","2.0.3","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","2.0.3 路面跳车 pavement bumping由路面异常突起或沉陷等损坏引起的车辆突然颠簸。
"
"clause_ffded2f85da7","2.0.4","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","2.0.4 路面磨耗 pavement wearing路面表面构造磨损状况。
—2—术状况指数SCI、路面技术状况指数PQI、桥隧构造物技术状况指数BCI和沿线设施技
术状况指数TCI。
"
"clause_3365b3bf3071","3.0.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","3.0.2 路面技术状况评定应采用路面技术状况指数PQI和相应分项指标——路面损
坏状况指数PCI、路面行驶质量指数RQI、路面车辙深度指数RDI、路面跳车指数PBI、
路面磨耗指数PWI、路面抗滑性能指数SRI和路面结构强度指数PSSI。
"
"clause_08329dfd5016","3.0.3","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","3.0.3 公路技术状况指标体系见图3.0.3。公路技术状况指数MQI和相应分项指标
值域为0~100。
路基技术状况指数SCI路面技术状况指数PQI 路面损坏状况指数PCI公路技术状况指数MQI
桥隧构造物技术状况指数BCI 路面行驶质量指数RQI沿线设施技术状况指数TCI 路面车辙深度指数RDI
路面跳车指数PBI路面磨耗指数PWI路面抗滑性能指数SRI路面结构强度指数PSSI
图3.0.3 公路技术状况指标体系图中:MQI——公路技术状况指数(Highway Maintenance Quality Indicator);
SCI——路基技术状况指数(Subgrade Condition Index);
PQI——路面技术状况指数(Pavement Maintenance Quality Index);
BCI——桥隧构造物技术状况指数(Bridge, Tunnel and Culvert Condition In￾dex);
TCI——沿线设施技术状况指数(Traffic Facility Condition Index);
PCI——路面损坏状况指数(Pavement Surf"
"clause_6831e050e43e","4.0.1","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","4.0.1 公路技术状况应分为优、良、中、次、差五个等级。公路技术状况等级划分表4.0.1 公路技术状况等级划分标准
"
"clause_4b34225e0c87","","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","标准应符合表4.0.1的规定。
评 定指标 优 良 中 次 差MQI ≥90 ≥80,<90 ≥70,<80 ≥60,<70 <60
"
"clause_fc5ecc229120","4.0.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 术语""]","4.0.2 公路技术状况各分项指标应分为优、良、中、次、差五个等级。各分项指标表4.0.2 公路技术状况分项指标等级划分标准
"
"clause_905c5acd33ec","5.1.1","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""5.1 路基""]","5.1.1 沥青路面路肩损坏分类应符合表7.4.5-1的规定,水泥混凝土路面路肩损坏
"
"clause_be8c90b9e84a","1","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""5.1 路基""]","1 轻度应包括表7.4.5-1和表7.4.5-2规定的所有轻度和中度损坏。
"
"clause_602e620e5728","2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""5.1 路基""]","2 重度应包括表7.4.5-1和表7.4.5-2规定的所有重度损坏。
"
"clause_7a7f5b48a9b3","5.1.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""5.1 路基""]","5.1.2 边坡坍塌应为路堤、路堑边坡表面松散及破碎引起的边坡坡面局部坍塌,按处计算。损坏程度应按下列标准判断:
"
"clause_301ea5a94bc4","5.1.3","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为边坡坍塌长度大于10m。""]","5.1.3 水毁冲沟应为雨水冲刷形成的冲沟,按处计算。损坏程度应按下列标准判断:
"
"clause_d012e529258b","5.1.4","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为冲沟深度大于50cm。""]","5.1.4 路基构造物损坏应为挡墙等圬工体出现的表面、局部和结构等损坏,按处计算。损坏程度应按下列标准判断:
"
"clause_b78b8f635ff0","5.1.5","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为整体开裂、倾斜、滑移、倒塌等。""]","5.1.5 路缘石缺损应为路缘石缺失或损坏,按长度(m)计算。
"
"clause_967374ce72d4","5.1.6","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为整体开裂、倾斜、滑移、倒塌等。""]","5.1.6 路基沉降应为深度大于30mm的沉降,按处计算。损坏程度应按下列标准—6—
公路损坏分类判断:
"
"clause_7fff3ca532ca","5.1.7","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为路基沉降长度大于10m。""]","5.1.7 排水不畅应为路基边沟、排水沟、截水沟等排水系统淤塞,按处计算。损坏程度应按下列标准判断:
"
"clause_3cc1f2f85a26","5.2.1","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""5.2 沥青路面""]","5.2.1 龟裂应按面积计算,损坏程度应按下列标准判断:
"
"clause_e597c49f718c","5.2.2","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为主要裂缝块度小于0.2m,平均裂缝宽度大于5mm。""]","5.2.2 块状裂缝应按面积计算,损坏程度应按下列标准判断:
"
"clause_41a2df325ae6","5.2.3","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""3 重度应为主要裂缝块度小于0.2m,平均裂缝宽度大于5mm。""]","5.2.3 纵向裂缝应是路面上与行车方向基本平行的裂缝,应按长度(m)计算。检测结果应用影响宽度(0.2m)换算成损坏面积。损坏程度应按下列标准判断:
"
"clause_6fdb0f99e6bb","5.2.4","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 重度应为主要裂缝宽度大于3mm。""]","5.2.4 横向裂缝应是路面上与行车方向基本垂直的裂缝,应按长度(m)计算。检测结果应用影响宽度(0.2m)换算成损坏面积。损坏程度应按下列标准判断:
"
"clause_1f754c1cc224","5.2.5","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 重度应为主要裂缝宽度大于3mm。""]","5.2.5 沉陷应为路面的局部下沉,应按面积计算。损坏程度应按下列标准判断:
—7—
"
"clause_a2d40c5da8ca","5.2.6","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 重度应为沉陷深度大于25mm,行车有明显颠簸感。""]","5.2.6 车辙应按长度(m)计算,检测结果应用影响宽度(0.4m)换算成损坏面
积。损坏程度应按下列标准判断:
"
"clause_0ce0c845fe6b","5.2.7","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 重度应为车辙深度大于15mm。""]","5.2.7 波浪拥包应按面积计算,损坏程度应按下列标准判断:
"
"clause_23fc2125b39b","5.2.8","JTG_5210_2018","公路技术状况评定标准","[""1 总则"", ""2 重度应为波峰波谷高差大于25mm。""]","5.2.8 坑槽应按面积计算,损坏程度应按下列标准判断:
"
