"id","slope_id","location","mileage","direction"
"slope_12ef2cb47cfd","slope_12ef2cb47cfd","","",""
"slope_ff91373c26b1","slope_ff91373c26b1","","",""
"slope_1eca939839b3","slope_1eca939839b3","","",""
"slope_e76c64eb792d","slope_e76c64eb792d","","",""
"slope_db0336864d68","slope_db0336864d68","","",""
"slope_c2a35e425004","slope_c2a35e425004","","",""
"slope_ea8d39fc23de","slope_ea8d39fc23de","","",""
"slope_ca086a5a8e23","slope_ca086a5a8e23","","",""
"slope_7ffaae2e94a0","slope_7ffaae2e94a0","","",""
"slope_0da2c310616e","slope_0da2c310616e","","",""
"slope_a1f5921d3290","slope_a1f5921d3290","","",""
"slope_061a03d483fd","slope_061a03d483fd","","",""
"slope_6ecc365ab251","slope_6ecc365ab251","","",""
"slope_191620df99d8","slope_191620df99d8","","",""
"slope_2dbc73bd6747","slope_2dbc73bd6747","","",""
"slope_42c727d1bc33","slope_42c727d1bc33","","",""
"slope_015cbcd3197e","slope_015cbcd3197e","","",""
"slope_7f69586e8899","slope_7f69586e8899","","",""
"slope_2e1f0a982634","slope_2e1f0a982634","","",""
"slope_d2b26cf3cd68","slope_d2b26cf3cd68","","",""
"slope_3a0aba9659cb","slope_3a0aba9659cb","","",""
"slope_31fab6847437","slope_31fab6847437","","",""
"slope_1c3819a515f5","slope_1c3819a515f5","","",""
"slope_6a8e0c007018","slope_6a8e0c007018","","",""
"slope_5b33971e114e","slope_5b33971e114e","","",""
"slope_8874352024b9","slope_8874352024b9","","",""
"slope_761144285c74","slope_761144285c74","","",""
"slope_1dc4da95b1b2","slope_1dc4da95b1b2","","",""
"slope_0d9b952b1137","slope_0d9b952b1137","","",""
"slope_9101dcb010b8","slope_9101dcb010b8","","",""
"slope_3a22f979d479","slope_3a22f979d479","","",""
"slope_78a35635f00b","slope_78a35635f00b","","",""
"slope_a3744bfdc694","slope_a3744bfdc694","","",""
"slope_96a98a128fb5","slope_96a98a128fb5","","",""
"slope_f2c68d01580c","slope_f2c68d01580c","","",""
"slope_b1abbbf15a42","slope_b1abbbf15a42","","",""
